"Name","Directory","Length","LastWriteTime"
"COMPLETE CLAUDE AI SYSTEM ANALYSIS PACKAGE.xps","C:\Users\User\Documents","691682","2025-09-21 9:26:24 AM"
"Gmail - FORMAL SUBMISSION TO THE COURT R. v. Francesco Longo - Case #21-845 July 8, 2025.html","C:\Users\User\Documents","40354","2025-09-26 8:26:42 PM"
"Gmail - Subject_ R. v. Longo ? URGENT SERVICE ON AGC ? Form 4F ? Filed OCJ Windsor 23?Sep?2025 15_47 (3_47 pm).pdf","C:\Users\User\Documents","175993","2025-09-26 2:28:56 AM"
"Gmail - Subject_ Urgent CHRC Complaint - Francesco Longo (Case 21-845) - s.15 Charter_CHRA Discrimination Request for Maximum $20,000+ Redress Due to Immigration Stigma and Systemic Bias.pdf","C:\Users\User\Documents","201653","2025-09-26 2:27:36 AM"
"Gmail - Subject_ Urgent HRTO Application - Francesco Longo (Case 21-845) - s.15_OHRA Discrimination Request for Maximum $100,000+ Redress Due to Immigration Stigma and Systemic Bias.pdf","C:\Users\User\Documents","296816","2025-09-26 2:26:46 AM"
"Gmail - Subject_ Urgent Victims Fund Grant Application - Francesco Longo (Case 21-845) - Request for Maximum $10,000+ Recovery Assistance Due to Charter Violations and Systemic Harm.pdf","C:\Users\User\Documents","134559","2025-09-26 2:27:10 AM"
"Gmail - Urgent Update_ Systematic Judicial Corruption Conspiracy (As of September 25, 2025).pdf","C:\Users\User\Documents","170294","2025-09-26 2:25:46 AM"
"LEGAL AID EMERGENCY FUNDING Canadian Legal Corruption- Francesco's Constitutional Rights Conspiracy.pdf","C:\Users\User\Documents","40922","2025-09-22 9:40:50 PM"
"original disclosure email sha256.txt","C:\Users\User\Documents","179487","2025-09-23 8:07:40 PM"
"PUBLIC WARNING CRITICAL AI SYSTEM FAILURES IN CLAUDE AI.md","C:\Users\User\Documents","8267","2025-09-21 9:31:22 AM"
"PUBLIC WARNING CRITICAL AI SYSTEM FAILURES IN CLAUDE AI.xps","C:\Users\User\Documents","532818","2025-09-21 9:27:58 AM"
"Subject_ Follow-up_ Digital Copies of Filed Court Applications - Case #21-845 - flongo11@gmail.com - Gmail.html","C:\Users\User\Documents","4152366","2025-09-26 8:30:38 PM"
"Text from immigration lawyer - flongo11@gmail.com - Gmail.html","C:\Users\User\Documents","5145213","2025-09-27 4:08:34 AM"
"logo_gmail_lockup_default_1x_r5.png","C:\Users\User\Documents\(impossible posistion) - flongo11@gmail.com - Gmail_files","1006","2025-09-26 8:29:42 PM"
"tailwind.min.css","C:\Users\User\Documents\Draft Interim Preservation Order ? R. v. Longo (OCJ Windsor)_files","2934019","2025-09-23 3:20:04 PM"
"tailwind.min.css","C:\Users\User\Documents\Evidence Summary Report_ Constitutional Challenge & Systemic Abuse Documentation_files","2934019","2025-09-24 12:38:18 PM"
"AiDownloaderDialog.Cjc5VJpf.css","C:\Users\User\Documents\Genspark - 2nd Disclosure review3RD4TH5 6_files","7261","2025-09-23 7:53:46 PM"
"PricingWindowForTeamCreditsClaim.DAYPtS5H.css","C:\Users\User\Documents\Genspark - 2nd Disclosure review3RD4TH5 6_files","32418","2025-09-23 7:53:40 PM"
"ViewCompanyDetail.6HVPlPkA.css","C:\Users\User\Documents\Genspark - 2nd Disclosure review3RD4TH5 6_files","518","2025-09-23 7:53:42 PM"
"AiDownloaderDialog.Cjc5VJpf.css","C:\Users\User\Documents\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","7261","2025-09-23 3:19:22 PM"
"PricingWindowForTeamCreditsClaim.DAYPtS5H.css","C:\Users\User\Documents\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","32418","2025-09-23 3:19:18 PM"
"ViewCompanyDetail.6HVPlPkA.css","C:\Users\User\Documents\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","518","2025-09-23 3:19:18 PM"
"logo_gmail_server_1x.png","C:\Users\User\Documents\Gmail - FORMAL SUBMISSION TO THE COURT R. v. Francesco Longo - Case #21-845 July 8, 2025_files","1376","2025-09-26 8:26:42 PM"
"tailwind.min.css","C:\Users\User\Documents\R. v. Longo ? OCJ Windsor Constitutional Challenge_ Live Master Report & Evidence Workroom_files","2934019","2025-09-24 6:58:26 PM"
"logo_gmail_lockup_default_1x_r5.png","C:\Users\User\Documents\Subject_ Follow-up_ Digital Copies of Filed Court Applications - Case #21-845 - flongo11@gmail.com - Gmail_files","1006","2025-09-26 8:30:26 PM"
"logo_gmail_lockup_default_1x_r5.png","C:\Users\User\Documents\Text from immigration lawyer - flongo11@gmail.com - Gmail_files","1006","2025-09-27 4:08:32 AM"
"AiDownloaderDialog.Cjc5VJpf.css","C:\Users\User\Documents\User Profile Data Update Review_files","7261","2025-09-22 8:39:24 PM"
"PricingWindowForTeamCreditsClaim.DAYPtS5H.css","C:\Users\User\Documents\User Profile Data Update Review_files","32418","2025-09-22 8:39:20 PM"
"ViewCompanyDetail.6HVPlPkA.css","C:\Users\User\Documents\User Profile Data Update Review_files","518","2025-09-22 8:39:18 PM"
"(impossible posistion) - flongo11@gmail.com - Gmail.html","C:\Users\User\Downloads","4101518","2025-09-26 8:29:43 PM"
"AI MIRROR METHOD OATH V1.txt","C:\Users\User\Downloads","17294","2025-09-19 8:55:57 AM"
"bitcoin_analyzer.py","C:\Users\User\Downloads","2574","2025-08-30 10:01:51 PM"
"bitcoin_mirror_method_final_chart (1).png","C:\Users\User\Downloads","631978","2025-09-15 6:20:13 PM"
"bitcoin_mirror_method_final_chart.png","C:\Users\User\Downloads","631978","2025-09-15 6:32:15 AM"
"bitcoin_mirror_predictions_4pm_6pm.csv","C:\Users\User\Downloads","2608","2025-08-27 4:58:43 PM"
"bitcoin_price_ema_chart.png","C:\Users\User\Downloads","218141","2025-09-13 9:43:41 AM"
"bitcoin_processed_12h.csv","C:\Users\User\Downloads","19425","2025-09-13 9:43:28 AM"
"bitcoin_shift_system.png","C:\Users\User\Downloads","1191157","2025-09-15 6:41:43 PM"
"bitcoin_time_aligned_chart.png","C:\Users\User\Downloads","254397","2025-09-13 9:50:22 AM"
"bitcoin_time_aligned_table.csv","C:\Users\User\Downloads","22720","2025-09-13 9:51:38 AM"
"cabina-ai-1756743886588.xlsx","C:\Users\User\Downloads","26842","2025-09-01 12:24:47 PM"
"cabina-ai-1756743915211.csv","C:\Users\User\Downloads","32405","2025-09-01 12:25:15 PM"
"COMPLETE CLAUDE AI SYSTEM ANALYSIS PACKAGE (1).xps","C:\Users\User\Downloads","691682","2025-09-23 11:45:54 PM"
"COMPLETE CLAUDE AI SYSTEM ANALYSIS PACKAGE (2).xps","C:\Users\User\Downloads","691682","2025-09-23 11:46:27 PM"
"COMPLETE CLAUDE AI SYSTEM ANALYSIS PACKAGE (3).xps","C:\Users\User\Downloads","691682","2025-09-24 2:21:23 AM"
"COMPLETE CLAUDE AI SYSTEM ANALYSIS PACKAGE (3).xps.crdownload","C:\Users\User\Downloads","691682","2025-09-24 12:55:31 AM"
"COMPLETE CLAUDE AI SYSTEM ANALYSIS PACKAGE.xps","C:\Users\User\Downloads","691682","2025-09-21 9:26:23 AM"
"COMPLETE CLAUDE AI SYSTEM ANALYSIS PACKAGE.zip","C:\Users\User\Downloads","689602","2025-09-23 11:45:45 PM"
"deepseek_mermaid_20250831_6ea610.mermaid","C:\Users\User\Downloads","565","2025-08-30 9:44:42 PM"
"evening_blueprint_trading_strategy.md","C:\Users\User\Downloads","4571","2025-08-27 10:16:10 AM"
"frank_trading_system (1).xlsx","C:\Users\User\Downloads","62729","2025-08-25 9:17:00 AM"
"frank_trading_system.xlsx","C:\Users\User\Downloads","62729","2025-08-25 9:05:30 AM"
"Gmail - FORMAL SUBMISSION TO THE COURT R. v. Francesco Longo - Case #21-845 July 8, 2025.html","C:\Users\User\Downloads","40354","2025-09-26 8:26:40 PM"
"Gmail - Subject_ R. v. Longo ? URGENT SERVICE ON AGC ? Form 4F ? Filed OCJ Windsor 23?Sep?2025 15_47 (3_47 pm).pdf","C:\Users\User\Downloads","175993","2025-09-26 2:28:55 AM"
"Gmail - Subject_ Urgent CHRC Complaint - Francesco Longo (Case 21-845) - s.15 Charter_CHRA Discrimination Request for Maximum $20,000+ Redress Due to Immigration Stigma and Systemic Bias.pdf","C:\Users\User\Downloads","201653","2025-09-26 2:27:34 AM"
"Gmail - Subject_ Urgent HRTO Application - Francesco Longo (Case 21-845) - s.15_OHRA Discrimination Request for Maximum $100,000+ Redress Due to Immigration Stigma and Systemic Bias.pdf","C:\Users\User\Downloads","296816","2025-09-26 2:26:44 AM"
"Gmail - Subject_ Urgent Victims Fund Grant Application - Francesco Longo (Case 21-845) - Request for Maximum $10,000+ Recovery Assistance Due to Charter Violations and Systemic Harm.pdf","C:\Users\User\Downloads","134559","2025-09-26 2:27:08 AM"
"Gmail - Urgent Update_ Systematic Judicial Corruption Conspiracy (As of September 25, 2025).pdf","C:\Users\User\Downloads","170294","2025-09-26 2:25:44 AM"
"Hi-town-calculator-bot-main.zip","C:\Users\User\Downloads","76641","2025-09-14 3:00:39 PM"
"LEGAL AID EMERGENCY FUNDING Canadian Legal Corruption- Francesco's Constitutional Rights Conspiracy.pdf","C:\Users\User\Downloads","40922","2025-09-22 9:40:48 PM"
"live_trading_chart_30min.png","C:\Users\User\Downloads","853574","2025-08-25 9:03:43 AM"
"LOCAL AI TRY.py","C:\Users\User\Downloads","3230","2025-09-05 11:53:37 PM"
"market_template.pine","C:\Users\User\Downloads","3144","2025-09-15 7:36:30 PM"
"mirror_method_precision_oracle.1 minute and 15 minute explained.txt","C:\Users\User\Downloads","2109","2025-09-14 4:54:36 AM"
"OllamaSetup.exe","C:\Users\User\Downloads","704878880","2025-09-07 10:02:59 PM"
"original disclosure email sha256.txt","C:\Users\User\Downloads","179487","2025-09-23 8:07:38 PM"
"Professional TradingView-Style Candlestick Chart Generation.docx","C:\Users\User\Downloads","46405","2025-09-15 6:37:01 PM"
"PUBLIC WARNING CRITICAL AI SYSTEM FAILURES IN CLAUDE AI.md","C:\Users\User\Downloads","8267","2025-09-21 9:31:21 AM"
"PUBLIC WARNING CRITICAL AI SYSTEM FAILURES IN CLAUDE AI.xps","C:\Users\User\Downloads","532818","2025-09-21 9:27:57 AM"
"RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail.html","C:\Users\User\Downloads","3859891","2025-09-29 8:53:39 AM"
"Subject_ Follow-up_ Digital Copies of Filed Court Applications - Case #21-845 - flongo11@gmail.com - Gmail.html","C:\Users\User\Downloads","4152366","2025-09-26 8:30:37 PM"
"Text from immigration lawyer - flongo11@gmail.com - Gmail.html","C:\Users\User\Downloads","5145213","2025-09-27 4:08:33 AM"
"tradingview.com","C:\Users\User\Downloads","2128","2025-09-24 8:36:29 AM"
"tradingview_1min_candlesticks (1).png","C:\Users\User\Downloads","687647","2025-08-27 10:40:57 AM"
"tradingview_1min_candlesticks.png","C:\Users\User\Downloads","687647","2025-08-27 10:40:49 AM"
"TRADINGVIEW_DAY_SHIFT (1).csv","C:\Users\User\Downloads","31182","2025-08-27 10:41:00 AM"
"TRADINGVIEW_DAY_SHIFT.csv","C:\Users\User\Downloads","31182","2025-08-27 10:23:09 AM"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS (1).json","C:\Users\User\Downloads","94028","2025-08-27 10:40:57 AM"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS (2).json","C:\Users\User\Downloads","94028","2025-08-27 10:40:57 AM"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS (3).json","C:\Users\User\Downloads","86587","2025-08-27 10:41:11 AM"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS (4).json","C:\Users\User\Downloads","87093","2025-08-27 11:44:13 AM"
"TRADINGVIEW_LIGHTWEIGHT_CHARTS.json","C:\Users\User\Downloads","94028","2025-08-27 10:40:28 AM"
"trading_summary.json","C:\Users\User\Downloads","1182","2025-08-29 9:59:44 AM"
"ultimate_trading_system_20250706122500.pdf","C:\Users\User\Downloads","1309534","2025-08-25 9:13:56 AM"
"URGENT_ Constitutional Crisis - Systematic Persecution of Canadian Citizen Using Evidence Proving Innocence - flongo11@gmail.com - Gmail.html","C:\Users\User\Downloads","3824630","2025-09-29 8:54:21 AM"
"Volume Analyzer System_ Market Microstructure Technical Documentation.docx","C:\Users\User\Downloads","22587","2025-09-15 6:40:04 AM"
"logo_gmail_lockup_default_1x_r5.png","C:\Users\User\Downloads\(impossible posistion) - flongo11@gmail.com - Gmail_files","1006","2025-09-26 8:29:40 PM"
"Models.DQdMUAj5.css","C:\Users\User\Downloads\4455999_files","896","2025-09-24 2:35:50 AM"
"editor.main.css","C:\Users\User\Downloads\blueprint code_files","131858","2025-09-27 8:29:47 PM"
"editor.main.js.download","C:\Users\User\Downloads\blueprint code_files","3765743","2025-09-27 8:29:47 PM"
"main.js.download","C:\Users\User\Downloads\blueprint code_files","249017","2025-09-27 8:29:44 PM"
"tailwind.min.css","C:\Users\User\Downloads\Draft Interim Preservation Order ? R. v. Longo (OCJ Windsor)_files","2934019","2025-09-23 3:20:02 PM"
"tailwind.min.css","C:\Users\User\Downloads\Evidence Summary Report_ Constitutional Challenge & Systemic Abuse Documentation_files","2934019","2025-09-24 12:38:16 PM"
"AiDownloaderDialog.Cjc5VJpf.css","C:\Users\User\Downloads\Genspark - 2nd Disclosure review3RD4TH5 6_files","7261","2025-09-23 7:53:45 PM"
"PricingWindowForTeamCreditsClaim.DAYPtS5H.css","C:\Users\User\Downloads\Genspark - 2nd Disclosure review3RD4TH5 6_files","32418","2025-09-23 7:53:39 PM"
"ViewCompanyDetail.6HVPlPkA.css","C:\Users\User\Downloads\Genspark - 2nd Disclosure review3RD4TH5 6_files","518","2025-09-23 7:53:41 PM"
"AiDownloaderDialog.Cjc5VJpf.css","C:\Users\User\Downloads\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","7261","2025-09-23 3:19:21 PM"
"PricingWindowForTeamCreditsClaim.DAYPtS5H.css","C:\Users\User\Downloads\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","32418","2025-09-23 3:19:16 PM"
"ViewCompanyDetail.6HVPlPkA.css","C:\Users\User\Downloads\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","518","2025-09-23 3:19:17 PM"
"logo_gmail_server_1x.png","C:\Users\User\Downloads\Gmail - FORMAL SUBMISSION TO THE COURT R. v. Francesco Longo - Case #21-845 July 8, 2025_files","1376","2025-09-26 8:26:40 PM"
"editor.main.css","C:\Users\User\Downloads\Google Gemini_files","131858","2025-09-01 9:31:12 AM"
"editor.main.js.download","C:\Users\User\Downloads\Google Gemini_files","3765743","2025-09-01 9:31:11 AM"
"main.js.download","C:\Users\User\Downloads\Google Gemini_files","249009","2025-09-01 9:31:09 AM"
"tailwind.min.css","C:\Users\User\Downloads\R. v. Longo ? OCJ Windsor Constitutional Challenge_ Live Master Report & Evidence Workroom_files","2934019","2025-09-24 6:58:25 PM"
"logo_gmail_lockup_default_1x_r5.png","C:\Users\User\Downloads\RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail_files","1006","2025-09-29 8:53:35 AM"
"logo_gmail_lockup_default_1x_r5.png","C:\Users\User\Downloads\Subject_ Follow-up_ Digital Copies of Filed Court Applications - Case #21-845 - flongo11@gmail.com - Gmail_files","1006","2025-09-26 8:30:25 PM"
"logo_gmail_lockup_default_1x_r5.png","C:\Users\User\Downloads\Text from immigration lawyer - flongo11@gmail.com - Gmail_files","1006","2025-09-27 4:08:31 AM"
"logo_gmail_lockup_default_1x_r5.png","C:\Users\User\Downloads\URGENT_ Constitutional Crisis - Systematic Persecution of Canadian Citizen Using Evidence Proving Innocence - flongo11@gmail.com - Gmail_files","1006","2025-09-29 8:54:16 AM"
"AiDownloaderDialog.Cjc5VJpf.css","C:\Users\User\Downloads\User Profile Data Update Review_files","7261","2025-09-22 8:39:22 PM"
"PricingWindowForTeamCreditsClaim.DAYPtS5H.css","C:\Users\User\Downloads\User Profile Data Update Review_files","32418","2025-09-22 8:39:18 PM"
"ViewCompanyDetail.6HVPlPkA.css","C:\Users\User\Downloads\User Profile Data Update Review_files","518","2025-09-22 8:39:16 PM"
"download-model.py","C:\Users\User\LocalAISetup\text-generation-webui","18619","2025-08-27 7:21:07 PM"
"chat_style-cai-chat-square.css","C:\Users\User\LocalAISetup\text-generation-webui\css","419","2025-08-27 7:21:07 PM"
"chat_style-cai-chat.css","C:\Users\User\LocalAISetup\text-generation-webui\css","1261","2025-08-27 7:21:07 PM"
"main.css","C:\Users\User\LocalAISetup\text-generation-webui\css","34112","2025-08-27 7:21:07 PM"
"KaTeX_Main-Bold.ttf","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","51336","2025-08-27 7:21:07 PM"
"KaTeX_Main-Bold.woff","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","29912","2025-08-27 7:21:07 PM"
"KaTeX_Main-Bold.woff2","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","25324","2025-08-27 7:21:07 PM"
"KaTeX_Main-BoldItalic.ttf","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","32968","2025-08-27 7:21:07 PM"
"KaTeX_Main-BoldItalic.woff","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","19412","2025-08-27 7:21:07 PM"
"KaTeX_Main-BoldItalic.woff2","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","16780","2025-08-27 7:21:07 PM"
"KaTeX_Main-Italic.ttf","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","33580","2025-08-27 7:21:07 PM"
"KaTeX_Main-Italic.woff","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","19676","2025-08-27 7:21:07 PM"
"KaTeX_Main-Italic.woff2","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","16988","2025-08-27 7:21:07 PM"
"KaTeX_Main-Regular.ttf","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","53580","2025-08-27 7:21:07 PM"
"KaTeX_Main-Regular.woff","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","30772","2025-08-27 7:21:07 PM"
"KaTeX_Main-Regular.woff2","C:\Users\User\LocalAISetup\text-generation-webui\css\katex\fonts","26272","2025-08-27 7:21:07 PM"
"04 - Model Tab.md","C:\Users\User\LocalAISetup\text-generation-webui\docs","12377","2025-08-27 7:21:07 PM"
"05 - Training Tab.md","C:\Users\User\LocalAISetup\text-generation-webui\docs","11407","2025-08-27 7:21:07 PM"
"12 - OpenAI API.md","C:\Users\User\LocalAISetup\text-generation-webui\docs","23672","2025-08-27 7:21:07 PM"
"modeldownload.json","C:\Users\User\LocalAISetup\text-generation-webui\extensions\alltalk_tts","941","2025-08-27 7:22:59 PM"
"modeldownload.py","C:\Users\User\LocalAISetup\text-generation-webui\extensions\alltalk_tts","9258","2025-08-27 7:22:59 PM"
"changingmodel.wav","C:\Users\User\LocalAISetup\text-generation-webui\extensions\alltalk_tts\system\at_sounds","182352","2025-08-27 7:22:59 PM"
"cache_embedding_model.py","C:\Users\User\LocalAISetup\text-generation-webui\extensions\openai","465","2025-08-27 7:21:07 PM"
"models.py","C:\Users\User\LocalAISetup\text-generation-webui\extensions\openai","2204","2025-08-27 7:21:07 PM"
"aircraft_lease.txt","C:\Users\User\LocalAISetup\text-generation-webui\extensions\superboogav2\benchmark_texts","514516","2025-08-27 7:21:07 PM"
"train_utils.py","C:\Users\User\LocalAISetup\text-generation-webui\extensions\Training_PRO","13509","2025-08-27 7:21:07 PM"
"msvcp140_atomic_wait.dll","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda","50288","2025-03-28 4:47:08 PM"
"aifc.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib","34211","2025-04-08 7:35:47 AM"
"mailbox.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib","78911","2025-04-08 7:35:47 AM"
"mailcap.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib","9333","2025-04-08 7:35:47 AM"
"_aix_support.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib","4021","2025-04-08 7:35:47 AM"
"__main__.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\asyncio","3491","2025-04-08 7:35:47 AM"
"__main__.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\asyncio\__pycache__","5439","2025-04-10 6:11:56 PM"
"_aix.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\ctypes","12505","2025-04-08 7:35:47 AM"
"_aix.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\ctypes\__pycache__","12286","2025-04-10 6:11:55 PM"
"__main__.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\ensurepip","88","2025-04-08 7:35:47 AM"
"__main__.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\ensurepip\__pycache__","309","2025-04-10 6:11:54 PM"
"config-main.def","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\idlelib","3168","2025-04-08 7:35:47 AM"
"mainmenu.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\idlelib","3938","2025-04-08 7:35:47 AM"
"__main__.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\idlelib","107","2025-04-08 7:35:47 AM"
"test_mainmenu.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\idlelib\idle_test","1638","2025-04-08 7:35:47 AM"
"test_mainmenu.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\idlelib\idle_test\__pycache__","2410","2025-04-10 6:11:55 PM"
"mainmenu.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\idlelib\__pycache__","3518","2025-04-10 6:11:55 PM"
"__main__.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\idlelib\__pycache__","318","2025-04-10 6:11:56 PM"
"main.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\lib2to3","11854","2025-04-08 7:35:47 AM"
"__main__.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\lib2to3","67","2025-04-08 7:35:47 AM"
"fix_raise.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\lib2to3\fixes","2926","2025-04-08 7:35:47 AM"
"fix_raise.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\lib2to3\fixes\__pycache__","3365","2025-04-10 6:11:55 PM"
"main.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\lib2to3\__pycache__","14044","2025-04-10 6:11:53 PM"
"__main__.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\lib2to3\__pycache__","259","2025-04-10 6:11:54 PM"
"__main__.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\archspec","97","2025-01-20 12:58:32 AM"
"__main__.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\archspec\__pycache__","318","2025-08-27 7:24:48 PM"
"__main__.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\certifi","243","2025-05-06 6:13:46 PM"
"__main__.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\certifi\__pycache__","576","2025-08-27 7:24:47 PM"
"model.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\cffi","21797","2024-09-05 2:27:09 PM"
"model.cpython-312.pyc","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\cffi\__pycache__","30078","2024-09-05 2:27:11 PM"
"models.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\charset_normalizer","12394","2025-05-02 3:43:00 PM"
"__main__.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\charset_normalizer","109","2025-05-02 3:43:00 PM"
"__main__.py","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\Lib\site-packages\charset_normalizer\cli","12646","2025-05-02 3:43:00 PM"
