"TaskName","TaskPath","State"
"SpaceAgentTask","\Microsoft\Windows\SpacePort\","Ready"
"SpaceManagerTask","\Microsoft\Windows\SpacePort\","Ready"
"MaintenanceTasks","\Microsoft\Windows\StateRepository\","Ready"
"Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\","Ready"
"EnableLicenseAcquisition","\Microsoft\Windows\Subscription\","Ready"
"ResPriStaticDbSync","\Microsoft\Windows\Sysmain\","Ready"
"WsSwapAssessmentTask","\Microsoft\Windows\Sysmain\","Ready"
"SR","\Microsoft\Windows\SystemRestore\","Ready"
"Interactive","\Microsoft\Windows\Task Manager\","Ready"
"MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\","Ready"
"ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready"
"SynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready"
"SynchronizeTimeZone","\Microsoft\Windows\Time Zone\","Ready"
"UPnPHostConfig","\Microsoft\Windows\UPnP\","Ready"
"Usb-Notifications","\Microsoft\Windows\USB\","Ready"
"WiFiTask","\Microsoft\Windows\WCM\","Ready"
"Windows Defender Cache Maintenance","\Microsoft\Windows\Windows Defender\","Ready"
"Windows Defender Cleanup","\Microsoft\Windows\Windows Defender\","Ready"
"Windows Defender Scheduled Scan","\Microsoft\Windows\Windows Defender\","Ready"
"Windows Defender Verification","\Microsoft\Windows\Windows Defender\","Ready"
"QueueReporting","\Microsoft\Windows\Windows Error Reporting\","Ready"
"BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\","Ready"
"UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\","Ready"
"Calibration Loader","\Microsoft\Windows\WindowsColorSystem\","Ready"
"Scheduled Start","\Microsoft\Windows\WindowsUpdate\","Ready"
"CDSSync","\Microsoft\Windows\WlanSvc\","Ready"
"Work Folders Logon Synchronization","\Microsoft\Windows\Work Folders\","Ready"
"Work Folders Maintenance Work","\Microsoft\Windows\Work Folders\","Ready"
"NotificationTask","\Microsoft\Windows\WwanSvc\","Ready"
"OobeDiscovery","\Microsoft\Windows\WwanSvc\","Ready"
"XblGameSaveTask","\Microsoft\XblGameSave\","Ready"
