"Name","Directory","CreationTime","LastWriteTime","Length","CompanyMatch"
"Dt0ZMNNl.js.download","C:\Users\User\Downloads\Genspark - 2nd Disclosure review3RD4TH5 6_files","2025-09-23 7:53:46 PM","2025-09-23 7:53:46 PM","583676","Unknown"
"fbevents.js.download","C:\Users\User\Downloads\Genspark - 2nd Disclosure review3RD4TH5 6_files","2025-09-23 7:53:46 PM","2025-09-23 7:53:46 PM","328956","Unknown"
"install_custom_tools.DHOT6VaY.css","C:\Users\User\Downloads\Genspark - 2nd Disclosure review3RD4TH5 6_files","2025-09-23 7:53:42 PM","2025-09-23 7:53:42 PM","16541","Unknown"
"recaptcha__en.js.download","C:\Users\User\Downloads\Genspark - 2nd Disclosure review3RD4TH5 6_files","2025-09-23 7:53:35 PM","2025-09-23 7:53:36 PM","816459","Unknown"
"AiDownloaderDialog.Cjc5VJpf.css","C:\Users\User\Downloads\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","2025-09-23 3:19:21 PM","2025-09-23 3:19:21 PM","7261","Unknown"
"api.js.download","C:\Users\User\Downloads\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","2025-09-23 3:19:23 PM","2025-09-23 3:19:23 PM","1623","Unknown"
"Dt0ZMNNl.js.download","C:\Users\User\Downloads\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","2025-09-23 3:19:23 PM","2025-09-23 3:19:23 PM","583676","Unknown"
"fbevents.js.download","C:\Users\User\Downloads\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","2025-09-23 3:19:22 PM","2025-09-23 3:19:23 PM","328956","Unknown"
"install_custom_tools.DHOT6VaY.css","C:\Users\User\Downloads\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","2025-09-23 3:19:18 PM","2025-09-23 3:19:18 PM","16541","Unknown"
"recaptcha__en.js.download","C:\Users\User\Downloads\Genspark - Canadian Legal Corruption_ Francesco's Constitutional Rights Conspiracy_files","2025-09-23 3:19:21 PM","2025-09-23 3:19:22 PM","816459","Unknown"
"api.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:13 AM","2025-09-01 9:31:13 AM","14497","Unknown"
"common.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:12 AM","2025-09-01 9:31:12 AM","126333","Unknown"
"css.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:13 AM","2025-09-01 9:31:13 AM","5340","Unknown"
"editor.main.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:09 AM","2025-09-01 9:31:11 AM","3765743","Unknown"
"gtm.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:07 AM","2025-09-01 9:31:08 AM","426514","Unknown"
"highlight.pack.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:11 AM","2025-09-01 9:31:12 AM","1174346","Unknown"
"html.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:13 AM","2025-09-01 9:31:13 AM","6064","Unknown"
"htmlMode.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:13 AM","2025-09-01 9:31:13 AM","33643","Unknown"
"HYZlMEXM6ED6_vs_loader.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:09 AM","2025-09-01 9:31:09 AM","30060","Unknown"
"javascript.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:13 AM","2025-09-01 9:31:13 AM","7146","Unknown"
"lazy.min.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:09 AM","2025-09-01 9:31:09 AM","124596","Unknown"
"main.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:09 AM","2025-09-01 9:31:09 AM","249009","Unknown"
"powershell.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:12 AM","2025-09-01 9:31:13 AM","4113","Unknown"
"python.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:13 AM","2025-09-01 9:31:13 AM","5248","Unknown"
"routes.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:09 AM","2025-09-01 9:31:09 AM","5864","Unknown"
"util.js.download","C:\Users\User\Downloads\Google Gemini_files","2025-09-01 9:31:12 AM","2025-09-01 9:31:12 AM","319784","Unknown"
"1hGciYbPE6ALKVPnmrkw4Pko3GI.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:28 PM","2025-09-16 5:15:28 PM","2781","Unknown"
"1L93TsCjxRt6RY7EoEoEa7937NA.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:33 PM","2025-09-16 5:15:33 PM","451","Unknown"
"2LhASpM_B45Dkt22jdRkKWDJqnA.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:34 PM","2025-09-16 5:15:34 PM","514","Unknown"
"3U4MuSTuHs_9JKfRazSxuXeJlv4.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:31 PM","2025-09-16 5:15:31 PM","1920","Unknown"
"4XhNiFLBac8W4P-lZmslgZDf000.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:32 PM","2025-09-16 5:15:33 PM","4505","Unknown"
"5FbVcVko_TuW5Y8VB4_bHoFuDm8.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:32 PM","2025-09-16 5:15:32 PM","1772","Unknown"
"88F_WFp57AEhbuX2xUzJp0yKLEM.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:31 PM","2025-09-16 5:15:31 PM","6409","Unknown"
"ANzUnPnVY0oL0XWxs0RLJxjJLUo.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:35 PM","2025-09-16 5:15:35 PM","20860","Unknown"
"b1xhc3Vl3_FhS-lf4VS_IJJoJF8.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:33 PM","2025-09-16 5:15:33 PM","15153","Unknown"
"e5L7vKbubPSU1bqZ4-OGMj8wr3o.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:32 PM","2025-09-16 5:15:32 PM","15513","Unknown"
"EmbwE8rah_7zdUQkosWSw-5nAPY.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:32 PM","2025-09-16 5:15:32 PM","252","Unknown"
"f3SeDJt1ZLYeXbL_ID8s9LrUF3U.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:35 PM","2025-09-16 5:15:35 PM","2580","Unknown"
"FATdvfhSB-vJrkLn-dkWzqdRSDU.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:32 PM","2025-09-16 5:15:32 PM","21078","Unknown"
"hEqFKjQayMY_lHvLB2LmW1vKiD4.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:33 PM","2025-09-16 5:15:33 PM","462","Unknown"
"J5-R5Bbh0y74Ok0O98PRRBxulSA.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:28 PM","2025-09-16 5:15:28 PM","151657","Unknown"
"JZE03CR4sDP6BuS-O62iKToyfsQ.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:34 PM","2025-09-16 5:15:34 PM","4026","Unknown"
"LDPtmbi_w4y1oa90D_hi6HqB1QI.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:33 PM","2025-09-16 5:15:33 PM","3390","Unknown"
"lwgCOY8rCo0Ub0btSshwRlT9HWI.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:35 PM","2025-09-16 5:15:35 PM","429","Unknown"
"MjkKTrIX9w2UKVd1W1WV1Gj2zWM.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:34 PM","2025-09-16 5:15:34 PM","938","Unknown"
"NNcPWELs37mjrTd4McRPz8yoC_E.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:33 PM","2025-09-16 5:15:34 PM","288","Unknown"
"noviXekWbIEiww0Q05yqGO7ZChU.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:31 PM","2025-09-16 5:15:31 PM","4871","Unknown"
"NUzfhuZWepPG4GeZTL-Nyzm7ye8.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:33 PM","2025-09-16 5:15:33 PM","222","Unknown"
"OziL1YvbpRq6zwtypT_ux33JK7I.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:31 PM","2025-09-16 5:15:31 PM","12379","Unknown"
"qi9Bm_IYxbXnj0KXk4SBGNjT3cc.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:34 PM","2025-09-16 5:15:34 PM","1537","Unknown"
"SEUIVGoz_JDmuX9iQGAezBNcNi4.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:34 PM","2025-09-16 5:15:35 PM","242596","Unknown"
"sGLGWS22Xd3xpXONLKYyCIR-XiA.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:34 PM","2025-09-16 5:15:34 PM","4534","Unknown"
"TcHMmx5-g_eMFc1PoJhthRXLLuo.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:33 PM","2025-09-16 5:15:33 PM","5815","Unknown"
"ulJ3ckR0YcGpvIX6xhO4prJhEQQ.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:35 PM","2025-09-16 5:15:35 PM","371","Unknown"
"wdgKxy3Ou_6SyuTh27l3as3wuw4.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:32 PM","2025-09-16 5:15:32 PM","30491","Unknown"
"wZxQYdP5UmelV7Q7YBZxc_a0ypQ.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:31 PM","2025-09-16 5:15:32 PM","433","Unknown"
"zU-wzeTci_PmsyatZvTRjj8U0as.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:34 PM","2025-09-16 5:15:34 PM","687","Unknown"
"z_rOe0VUiazlym4ZI_NlUTCO0ok.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:32 PM","2025-09-16 5:15:32 PM","4136","Unknown"
"_C-vnoEigkuMwoQZNefrC-Z99WU.br.js.download","C:\Users\User\Downloads\imgurl_https___page.gensparksite.com_jupyter_tooluse_8R85sdjwR7-bj7O8eTy0sQ_output_professional_candlestick_chart.png - Search_files","2025-09-16 5:15:33 PM","2025-09-16 5:15:33 PM","1454","Unknown"
"notice_dialog.js.download","C:\Users\User\Downloads\R. v. Longo ? OCJ Windsor Constitutional Challenge_ Live Master Report & Evidence Workroom_files","2025-09-24 6:58:28 PM","2025-09-24 6:58:28 PM","12181","Unknown"
"api.js.download","C:\Users\User\Downloads\RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail_files","2025-09-29 8:53:39 AM","2025-09-29 8:53:39 AM","14490","Unknown"
"lazy.min.js.download","C:\Users\User\Downloads\RE_ Your form _Website Contact Form_ got a response - flongo11@gmail.com - Gmail_files","2025-09-29 8:53:31 AM","2025-09-29 8:53:31 AM","124225","Unknown"
"api.js.download","C:\Users\User\Downloads\Subject_ Follow-up_ Digital Copies of Filed Court Applications - Case #21-845 - flongo11@gmail.com - Gmail_files","2025-09-26 8:30:37 PM","2025-09-26 8:30:37 PM","14490","Unknown"
"lazy.min.js.download","C:\Users\User\Downloads\Subject_ Follow-up_ Digital Copies of Filed Court Applications - Case #21-845 - flongo11@gmail.com - Gmail_files","2025-09-26 8:30:22 PM","2025-09-26 8:30:22 PM","124225","Unknown"
"lazy.min.js.download","C:\Users\User\Downloads\Text from immigration lawyer - flongo11@gmail.com - Gmail_files","2025-09-27 4:08:27 AM","2025-09-27 4:08:28 AM","124225","Unknown"
"api.js.download","C:\Users\User\Downloads\URGENT_ Constitutional Crisis - Systematic Persecution of Canadian Citizen Using Evidence Proving Innocence - flongo11@gmail.com - Gmail_files","2025-09-29 8:54:20 AM","2025-09-29 8:54:21 AM","14490","Unknown"
"lazy.min.js.download","C:\Users\User\Downloads\URGENT_ Constitutional Crisis - Systematic Persecution of Canadian Citizen Using Evidence Proving Innocence - flongo11@gmail.com - Gmail_files","2025-09-29 8:54:12 AM","2025-09-29 8:54:13 AM","124225","Unknown"
"AiDownloaderDialog.Cjc5VJpf.css","C:\Users\User\Downloads\User Profile Data Update Review_files","2025-09-22 8:39:22 PM","2025-09-22 8:39:22 PM","7261","Unknown"
"api.js.download","C:\Users\User\Downloads\User Profile Data Update Review_files","2025-09-22 8:39:25 PM","2025-09-22 8:39:25 PM","1623","Unknown"
"CXIZEPtF.js.download","C:\Users\User\Downloads\User Profile Data Update Review_files","2025-09-22 8:39:24 PM","2025-09-22 8:39:24 PM","592589","Unknown"
"fbevents.js.download","C:\Users\User\Downloads\User Profile Data Update Review_files","2025-09-22 8:39:24 PM","2025-09-22 8:39:24 PM","328956","Unknown"
"install_custom_tools.DHOT6VaY.css","C:\Users\User\Downloads\User Profile Data Update Review_files","2025-09-22 8:39:19 PM","2025-09-22 8:39:19 PM","16541","Unknown"
"recaptcha__en.js.download","C:\Users\User\Downloads\User Profile Data Update Review_files","2025-09-22 8:39:22 PM","2025-09-22 8:39:23 PM","816459","Unknown"
