"Name","Length","LastWriteTime","CreationTime"
"DISCLOSURE_SCREENSHOTS_TEXT.txt","539","2025-11-02 10:06:39 PM","2025-11-02 10:06:39 PM"
"Draft Interim Preservation Order ? R. v. Longo (OCJ Windsor) (2) - Shortcut.lnk","2017","2025-10-19 8:28:28 AM","2025-10-19 8:28:28 AM"
"EMAIL_1_ATTORNEY_GENERAL.txt","880","2025-10-31 7:22:41 AM","2025-10-31 7:22:41 AM"
"EMAIL_2_WINDSOR_CROWN.txt","688","2025-10-31 7:22:41 AM","2025-10-31 7:22:41 AM"
"EMAIL_3_OMBUDSMAN.txt","616","2025-10-31 7:22:41 AM","2025-10-31 7:22:41 AM"
"Email_Export_Manual.txt","892","2025-10-31 6:47:30 AM","2025-10-31 6:28:47 AM"
"Email_Headers_Found.csv","393143","2025-11-02 9:52:51 PM","2025-11-02 9:45:30 PM"
"EMAIL_SENT_CONFIRMED_20251029_152403.txt","2988","2025-10-29 3:24:04 PM","2025-10-29 3:24:04 PM"
"evidence.json","37538","2025-11-02 1:26:07 AM","2025-11-02 1:26:06 AM"
"EVIDENCE_VERIFICATION.txt","1986","2025-11-02 9:07:25 AM","2025-11-02 9:06:02 AM"
"Federal_Blocking_Evidence.txt","996","2025-10-29 4:45:01 PM","2025-10-29 4:45:01 PM"
"Federal_Blocking_Response_20251029_172240.txt","6828","2025-10-29 5:22:59 PM","2025-10-29 5:22:41 PM"
"Federal_Contact_Strategy.txt","1153","2025-10-29 4:46:30 PM","2025-10-29 4:46:30 PM"
"Federal_FollowUp_Email.txt","1653","2025-10-29 4:49:43 PM","2025-10-29 4:49:21 PM"
"File_Locations.csv","3446","2025-10-31 3:18:55 AM","2025-10-31 3:18:29 AM"
"Find_2022_Fabrication.ps1","3390","2025-10-22 6:38:57 PM","2025-10-22 6:38:57 PM"
"FOI_DEPLOYMENT_STRATEGY.txt","1052","2025-10-31 7:02:28 AM","2025-10-31 7:02:28 AM"
"FOI_EMAIL_Legal Aid Ontario.txt","1810","2025-10-31 7:06:05 AM","2025-10-31 7:06:05 AM"
"FOI_EMAIL_MAG.txt","1824","2025-10-31 7:06:05 AM","2025-10-31 7:06:05 AM"
"FOI_EMAIL_Ontario Ombudsman.txt","1794","2025-10-31 7:06:05 AM","2025-10-31 7:06:05 AM"
"FOI_EMAIL_Windsor Crown.txt","1804","2025-10-31 7:06:05 AM","2025-10-31 7:06:05 AM"
"FOI_EMAIL_Windsor Police.txt","1788","2025-10-31 7:06:05 AM","2025-10-31 7:06:05 AM"
"FOI_FINAL_CONFIRMED_POLICE_21-38605.txt","3512","2025-10-31 7:57:36 AM","2025-10-31 7:19:56 AM"
"FOI_PLACEHOLDERS_TO_FILL.txt","1076","2025-10-31 6:48:29 AM","2025-10-31 6:48:29 AM"
"FOI_READY_FOR_DEPLOYMENT.txt","694","2025-10-31 7:02:29 AM","2025-10-31 7:02:29 AM"
"FOI_REQUEST_COMPLETE_FILLED_OUT.txt","4824","2025-10-31 7:05:56 AM","2025-10-31 7:05:56 AM"
"FOI_REQUEST_SIMPLE.txt","1424","2025-10-31 7:22:25 AM","2025-10-31 7:22:25 AM"
"Form 4F ? Notice of Constitutional Question ? R. v. Longo (OCJ Windsor) (1) - Shortcut.lnk","2112","2025-10-19 8:28:28 AM","2025-10-19 8:28:28 AM"
"Francesco Longo Case_ Evidence of Systematic Corruption (5) - Shortcut.lnk","1968","2025-10-19 8:28:28 AM","2025-10-19 8:28:28 AM"
"Francesco Longo Case_ Government Corruption Evidence Package - Shortcut.lnk","1982","2025-10-26 9:48:58 PM","2025-10-19 8:31:25 AM"
"Genspark - ## 1. Primary Request and Inte.mhtml","2819873","2025-10-27 10:45:58 AM","2025-10-27 10:43:54 AM"
"Genspark - JER FILE.pdf","384271","2025-10-27 10:46:58 AM","2025-10-27 10:46:54 AM"
"Genspark.lnk","2942","2025-10-25 10:50:25 PM","2025-09-23 4:47:14 PM"
"Gmail_Export_Instructions.txt","498","2025-10-31 6:47:12 AM","2025-10-31 6:28:17 AM"
"Gmail_Search_Queries.txt","394","2025-10-31 6:47:25 AM","2025-10-31 6:28:42 AM"
"grok doss conversations.txt","467144","2025-10-05 11:02:27 AM","2025-10-05 11:41:46 AM"
"IMMEDIATE_DEPLOYMENT_PLAN.txt","782","2025-10-31 7:02:28 AM","2025-10-31 7:02:28 AM"
"index.html","267","2025-10-23 7:01:55 PM","2025-10-23 7:01:55 PM"
"index.html - Shortcut.lnk","1793","2025-10-23 7:22:35 PM","2025-10-23 7:22:35 PM"
"initial_preferences - Shortcut (2).lnk","1324","2025-11-02 8:55:36 AM","2025-11-02 8:55:36 AM"
"initial_preferences - Shortcut.lnk","1324","2025-11-02 8:54:42 AM","2025-11-02 8:54:42 AM"
"JERR_FILEV2_WITH_REFERENCES.pdf","50759","2025-10-27 11:34:36 AM","2025-10-27 11:15:24 AM"
"JERR_FILEV3_FINAL_WITH_ALL_REFERENCES.pdf","50376","2025-10-27 11:41:28 AM","2025-10-27 11:41:28 AM"
"July 8 court recording rescheduling, crown_memo 2 (mp3cut.net)uncut.m4a.url","60","2025-11-03 7:31:50 AM","2025-11-03 7:31:50 AM"
"July 8 court recording rescheduling, crown_memo 2 - Shortcut.lnk","1487","2025-10-24 11:42:06 AM","2025-10-24 11:42:06 AM"
"LONGO VS CORRUPT OFFICIALS - Grok.pdf","65244","2025-09-24 10:54:22 PM","2025-10-05 11:41:46 AM"
"Longo, Francesco- Letter - Confirm Attendance (1) - Shortcut.lnk","1887","2025-10-21 8:02:12 AM","2025-10-19 8:28:28 AM"
"MUST BE SUMMIERIZED TO GREAT SCRUTINY.txt","216203","2025-09-16 10:46:44 AM","2025-10-05 11:41:46 AM"
"Network_Connections.csv","1522","2025-10-30 6:22:07 PM","2025-10-30 6:22:06 PM"
"Notice of Motion ? Abridgment & Interim Preservation ? R. v. Longo (OCJ Windsor) (1) - Shortcut.lnk","2197","2025-10-19 8:28:28 AM","2025-10-19 8:28:28 AM"
"NUMBERS_SEARCH_STATUS.txt","1232","2025-10-31 7:02:27 AM","2025-10-31 7:02:27 AM"
"OCJ Form 1 ? Application (s.24(1)) ? R. v. Longo (OCJ Windsor) (2) - Shortcut.lnk","2035","2025-10-19 8:28:28 AM","2025-10-19 8:28:28 AM"
"ONE_CLICK_DEPLOYMENT_GUIDE.txt","4004","2025-10-31 7:06:16 AM","2025-10-31 7:06:16 AM"
"Organizing Evidence Package for Forensic Analysis - DeepSeek.mhtml","1014965","2025-10-27 10:04:34 AM","2025-10-27 10:04:33 AM"
"PHASE1_EVIDENCE_SUMMARY.html","769","2025-10-26 9:42:16 PM","2025-10-26 9:42:16 PM"
"PHASE2_COMPLAINT_FORMS.html","428","2025-10-26 9:42:17 PM","2025-10-26 9:42:17 PM"
"PHASE3_OFFICER_BRIEFING_READ_FIRST.html","2280","2025-10-26 9:42:16 PM","2025-10-26 9:42:16 PM"
"Phone_Number_289-980-4297_Investigation.txt","950","2025-10-27 6:24:42 PM","2025-10-27 6:24:42 PM"
"PoliceDisclosureForensics_20251022-193130.txt","2973","2025-10-22 7:31:30 PM","2025-10-22 7:31:30 PM"
"PowerDoc.lnk","1172","2025-10-21 7:41:17 AM","2025-10-21 7:41:17 AM"
"R v Longo Case.lnk","674","2025-10-24 5:33:56 PM","2025-10-24 5:33:56 PM"
"RecentFiles.csv","157332","2025-10-31 3:09:05 AM","2025-10-31 3:08:49 AM"
"Recording of my call to Laura Joy office (1) - Shortcut.lnk","1837","2025-10-21 8:01:55 AM","2025-10-19 8:28:28 AM"
"Recording of my call to Laura Joy office (2) - Shortcut ().lnk","1321","2025-10-26 10:50:47 PM","2025-10-26 10:50:47 PM"
"ROAD MAP MUST REVIEW.txt","199778","2025-09-15 7:47:33 AM","2025-10-05 11:41:46 AM"
"Running_Processes.csv","17791","2025-10-30 6:21:43 PM","2025-10-30 6:21:41 PM"
"RvLongo-System-Optimization.ps1","33","2025-10-24 5:36:15 PM","2025-10-24 5:36:15 PM"
"R_v_LONGO.html","20631","2025-10-23 7:40:44 PM","2025-10-23 7:40:44 PM"
"Screenshot (388) - Shortcut.lnk","1493","2025-10-21 7:53:22 AM","2025-09-10 10:07:03 AM"
"SetupMetrics - Shortcut.lnk","1653","2025-11-02 8:54:42 AM","2025-11-02 8:54:42 AM"
"SIBERT_Found_In_Files.csv","469","2025-11-02 9:52:47 PM","2025-11-02 9:44:44 PM"
"SIMPLE_INSTRUCTIONS.txt","1118","2025-10-31 7:22:52 AM","2025-10-31 7:22:52 AM"
"SMS Backup & Restore Backup Viewer.lnk","2757","2025-10-24 6:07:28 PM","2025-10-24 9:13:39 AM"
"System_Info.txt","5638","2025-10-30 6:21:55 PM","2025-10-30 6:21:51 PM"
"TOTAL RECAP MASTER .txt","2732083","2025-10-23 12:49:45 PM","2025-10-23 12:49:32 PM"
"V10.txt","1814787","2025-10-23 11:34:58 AM","2025-10-23 11:34:58 AM"
"V11.txt","2732083","2025-10-23 11:35:45 AM","2025-10-23 11:35:44 AM"
"V4 PROFESSIONAL DESIGN ENHANCEMENTS COMPLETED.txt","2163321","2025-10-23 11:22:59 AM","2025-10-23 11:18:46 AM"
"V6.txt","780987","2025-10-23 11:23:30 AM","2025-10-23 11:23:30 AM"
"V7.txt","601347","2025-10-23 11:25:47 AM","2025-10-23 11:25:47 AM"
"V77.txt","468388","2025-10-23 11:36:35 AM","2025-10-23 11:36:35 AM"
"V88.txt","131513","2025-10-23 11:39:27 AM","2025-10-23 11:39:27 AM"
"V9.txt","780987","2025-10-23 11:29:33 AM","2025-10-23 11:29:33 AM"
"windsor-corruption.html","46742","2025-10-21 4:47:38 AM","2025-10-21 4:47:38 AM"
